player,rating,games_played,win_prob_vs_avg,elo_equivalent
Jim McEwan,1.3719471640582281,304,0.7976945650574587,1738.3316331253216
Jon Worsley,1.3679230563745097,408,0.7970443848159633,1737.632574020672
Lorraine Hyde,1.3669674109537993,339,0.7968897513008653,1737.4665614075238
Jamie Lewis,1.3658007819140576,871,0.7967008594329898,1737.2638971857687
Martin McCloskey,1.3652719958365738,68,0.7966151992549748,1737.1720376355454
James Buckby,1.3648020193952786,120,0.7965390433279655,1737.0903943655137
Ron Meulenkamp,1.3630797881929781,907,0.7962597880752328,1736.7912121624254
Michael Flynn,1.3622201261677103,287,0.7961202894668928,1736.6418735728753
Steve West,1.3614947733373874,916,0.796002530148194,1736.5158668802183
Barry Lynn,1.360149784771234,266,0.7957840405873335,1736.282218435217
Richie Corner,1.3549810682506502,291,0.7949427788869341,1735.3843204098523
Garrett Gray,1.354236969890457,83,0.7948214577176904,1735.2550572851223
Sean Reed,1.3541173741923698,169,0.7948019533267132,1735.2342813844268
Adam Warner,1.3519382635194472,158,0.7944463299126278,1734.855731088144
Maikel Verberk,1.3479067353075052,348,0.7937871943311204,1734.1553829057107
Andy Smith,1.3463103937972707,1228,0.7935257681014614,1733.8780699820595
Lee Evans,1.3458093905356754,610,0.7934436703413561,1733.7910368012888
Scott MacKenzie,1.3411983689914573,106,0.7926869437075803,1732.9900203162524
Martin Atkins (Leeds),1.340950946488978,495,0.792646280746226,1732.9470386252424
Davy van Baelen,1.3377311686400557,145,0.7921165853504505,1732.3877059241458
Dylan Quinn,1.3296012789537155,176,0.7907746740025933,1730.975399432442
Graham Usher,1.327836281698803,348,0.7904825051797426,1730.6687880050888
Daniel Perry,1.3271822913834486,323,0.7903741707831144,1730.555178251018
Moreno Blom,1.3260079438312138,325,0.7901795351960019,1730.3511731863093
Robert Marijanovic,1.3241380786377788,195,0.7898693511160644,1730.0263443321446
Warrick Scheffer,1.3227756583450923,104,0.7896431330696043,1729.789667686086
Tony Martinez,1.3224271008240926,199,0.7895852294306338,1729.7291170428875
Dave Parletti,1.3215356065528416,179,0.789437077982866,1729.5742486258264
Harry Ward,1.3201029337704142,680,0.7891988315094917,1729.325367872314
Greg Ritchie,1.318603272836906,385,0.7889492336603253,1729.0648500850546
Kevin Painter,1.312205068340948,1657,0.7878819096675194,1727.9533681223813
Dennis Harbour,1.3120269026970837,112,0.7878521323841519,1727.9224175799832
Thomas Junghans,1.3094038406054533,217,0.7874133797395668,1727.4667450231493
David Concanon,1.3068433164856952,27,0.7869844490913778,1727.021936424753
Richie Howson,1.3067608473592305,341,0.7869706236459176,1727.0076100701326
Trevor Burkhill,1.3057981204951632,255,0.7868091799559936,1726.8403672842746
Yorick Hofkens,1.3050452617229282,34,0.7866828677851886,1726.7095823201012
Jo Locke,1.303675339486406,97,0.7864528868310623,1726.471602452918
Darren Herewini,1.3017745187810148,68,0.7861334801656703,1726.1413960755424
Chris Wickenden,1.301343207935776,104,0.7860609559455387,1726.0664697075135
Keegan Brown,1.2994018191986278,1118,0.7857342929801421,1725.7292159412043
Tony Ayres,1.2978370651516256,257,0.7854707396006965,1725.4573903219448
Simon Whitlock,1.2971475383610687,2050,0.7853545270136801,1725.3376072498395
James Richardson,1.2971293865261226,712,0.7853514670922993,1725.334453953138
Michele Turetta,1.294428562166704,109,0.7848958259892479,1724.865272706784
Paul Hogan,1.2925675989773984,385,0.7845814648672307,1724.5419902891276
Dennis Nilsson,1.2917053686814282,348,0.7844357006442432,1724.39220554526
Dylan Dowling,1.2898577179206676,354,0.7841231054857583,1724.0712357333068
Jarno Bottenberg,1.286038672227922,280,0.7834759386718582,1723.4077995451084
Jamie Clark,1.2851117702493233,151,0.7833186564144353,1723.2467801792802
Angelo Balsamo,1.2838207009216427,228,0.7830994423671083,1723.0224984653737
Jan Dekker,1.282535348276168,696,0.7828810397288956,1722.799209840882
Paul Milford,1.2818995885251103,188,0.7827729549213598,1722.6887670602018
Kai Gotthardt,1.2788102797179284,243,0.7822471916580472,1722.1520991530601
